MMSI,Timestamp,Distance(km),Speed(km/h)
228000000,27/01/2025 15:08:39,99.04870200802627,5942.922120481576
228000000,27/01/2025 15:08:47,99.07027060216728,5944.216236130037
228000000,27/01/2025 15:08:48,99.07689524393636,5944.613714636182
228000000,27/01/2025 15:08:57,99.10085525152947,5946.051315091768
228000000,27/01/2025 15:09:08,99.14014108617513,5948.408465170508
228000000,27/01/2025 15:09:16,99.16138878966127,5949.6833273796765
228000000,27/01/2025 15:09:19,99.1689301131231,5950.135806787386
228000000,27/01/2025 15:09:26,99.19287011682876,5951.572207009725
228000000,27/01/2025 15:09:29,99.20143905041947,5952.086343025168
228000000,27/01/2025 15:09:38,99.23029484880571,5953.817690928343
228000000,27/01/2025 15:09:39,99.237986995844,5954.27921975064
228000000,27/01/2025 15:09:47,99.25855775539013,5955.513465323408
228000000,27/01/2025 15:09:48,99.26544574683508,5955.926744810105
228000000,27/01/2025 15:09:57,99.28599897183717,5957.15993831023
228000000,27/01/2025 15:09:59,99.29331568820685,5957.598941292411
228000000,27/01/2025 15:10:07,99.30800226665994,5958.480135999596
228000000,27/01/2025 15:10:08,99.31516925107098,5958.910155064259
228000000,27/01/2025 15:10:16,99.32291084676427,5959.374650805857
228000000,27/01/2025 15:10:19,99.33115025160471,5959.869015096283
228000000,27/01/2025 15:10:26,99.33351518579438,5960.010911147663
228000000,27/01/2025 15:10:29,99.34184276436044,5960.510565861627
228000000,27/01/2025 15:10:38,99.3402563264529,5960.415379587174
228000000,27/01/2025 15:10:39,99.34776220399782,5960.865732239869
228000000,27/01/2025 15:10:47,99.34492143518851,5960.69528611131
228000000,27/01/2025 15:10:48,99.35063074266402,5961.037844559842
228000000,27/01/2025 15:10:57,99.34997361623569,5960.998416974141
228000000,27/01/2025 15:10:59,99.35600975346581,5961.360585207949
228000000,27/01/2025 15:11:08,99.36009453357538,5961.6056720145225
228000000,27/01/2025 15:11:08,99.364971791246,5961.89830747476
228000000,27/01/2025 15:11:16,99.37186599187721,5962.311959512633
228000000,27/01/2025 15:11:19,99.37767893007103,5962.660735804262
228000000,27/01/2025 15:11:28,99.39290598426564,5963.574359055939
228000000,27/01/2025 15:11:28,99.39791091389971,5963.874654833982
228000000,27/01/2025 15:11:38,99.41476817933736,5964.886090760241
228000000,27/01/2025 15:11:39,99.42009182874818,5965.205509724891
228000000,27/01/2025 15:11:47,99.43754589273422,5966.252753564053
228000000,27/01/2025 15:11:48,99.44188832332318,5966.513299399391
228000000,27/01/2025 15:11:57,99.46193326866519,5967.715996119911
228000000,27/01/2025 15:11:59,99.46667418597842,5968.000451158705
228000000,27/01/2025 15:12:08,99.49078572142598,5969.447143285559
228000000,27/01/2025 15:12:08,99.49489342322954,5969.6936053937725
228000000,27/01/2025 15:12:16,99.51286137629849,5970.77168257791
228000000,27/01/2025 15:12:19,99.51900156198826,5971.140093719296
228000000,27/01/2025 15:12:28,99.54529987353641,5972.717992412185
228000000,27/01/2025 15:12:28,99.54998295010813,5972.998977006488
228000000,27/01/2025 15:12:36,99.5651652939527,5973.909917637162
228000000,27/01/2025 15:12:39,99.5708456386322,5974.250738317933
228000000,27/01/2025 15:12:47,99.58730835957023,5975.238501574214
228000000,27/01/2025 15:12:48,99.59193459373775,5975.516075624265
228000000,27/01/2025 15:12:58,99.60049709080653,5976.029825448391
228000000,27/01/2025 15:12:59,99.60642860002712,5976.385716001627
228000000,27/01/2025 15:13:08,99.60769642803483,5976.46178568209
228000000,27/01/2025 15:13:08,99.61327899937412,5976.796739962447
228000000,27/01/2025 15:13:16,99.60979891758288,5976.587935054973
228000000,27/01/2025 15:13:19,99.61672744658027,5977.003646794817
228000000,27/01/2025 15:13:28,99.60477933708346,5976.286760225007
228000000,27/01/2025 15:13:28,99.61123294699918,5976.673976819951
228000000,27/01/2025 15:13:36,99.59919909605019,5975.951945763011
228000000,27/01/2025 15:13:39,99.60652567701489,5976.3915406208935
228000000,27/01/2025 15:13:47,99.58689577857868,5975.21374671472
228000000,27/01/2025 15:13:48,99.59274962801369,5975.564977680821
228000000,27/01/2025 15:13:58,99.57191959233913,5974.315175540348
228000000,27/01/2025 15:13:59,99.57928722452365,5974.75723347142
228000000,27/01/2025 15:14:08,99.56076811347693,5973.646086808616
228000000,27/01/2025 15:14:19,99.56399957651085,5973.839974590651
228000000,27/01/2025 15:14:28,99.54171848401703,5972.503109041021
228000000,27/01/2025 15:14:28,99.55332407611506,5973.199444566903
228000000,27/01/2025 15:14:36,99.5381929829996,5972.291578979976
228000000,27/01/2025 15:14:39,99.55164992104946,5973.098995262968
228000000,27/01/2025 15:14:47,99.5314793347892,5971.888760087352
228000000,27/01/2025 15:14:49,99.5432182251537,5972.593093509222
228000000,27/01/2025 15:14:58,99.52298405659957,5971.379043395974
228000000,27/01/2025 15:14:59,99.53251089338826,5971.950653603296
228000000,27/01/2025 15:15:08,99.51359332058507,5970.815599235105
228000000,27/01/2025 15:15:09,99.52609784173062,5971.565870503837
228000000,27/01/2025 15:15:17,99.50854774163841,5970.512864498304
228000000,27/01/2025 15:15:18,99.52036029818883,5971.22161789133
228000000,27/01/2025 15:15:28,99.49906205730413,5969.943723438248
228000000,27/01/2025 15:15:28,99.51364237042446,5970.818542225468
228000000,27/01/2025 15:15:36,99.4979557572277,5969.877345433662
228000000,27/01/2025 15:15:39,99.51422504443383,5970.85350266603
228000000,27/01/2025 15:15:47,99.49352566908651,5969.611540145191
228000000,27/01/2025 15:15:49,99.50874145033454,5970.524487020072
228000000,27/01/2025 15:15:58,99.48798362375754,5969.279017425452
228000000,27/01/2025 15:15:59,99.50176201542534,5970.1057209255205
